"snr","tuning","dgp","d","T_sample","method","rank_frob","rank_rmfe","rank_hamming","rank_F1","rank_off_hamming","rank_off_F1"
1,"theory","dgp1",30,500,"A-Ref",8,8,4,4,4,4
1,"theory","dgp1",30,500,"A-Rlx",9,9,4,4,4,4
1,"theory","dgp1",30,500,"A-Des",6,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",30,500,"ScL",5,5,2,2,2,2
1,"theory","dgp1",30,1000,"L",4,4,8,8,8,8
1,"theory","dgp1",30,1000,"L-Th",3,3,1,1,1,1
1,"theory","dgp1",30,1000,"L-Ref",2,2,8,8,8,8
1,"theory","dgp1",30,1000,"L-Rlx",1,1,8,8,8,8
1,"theory","dgp1",30,1000,"L-Des",8,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",30,1000,"A",10,10,3,3,3,3
1,"theory","dgp1",30,1000,"A-Th",11,11,5,5,5,5
1,"theory","dgp1",30,1000,"A-Ref",6,6,3,3,3,3
1,"theory","dgp1",30,1000,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp1",30,1000,"A-Des",7,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",30,1000,"ScL",5,5,6,6,6,6
